spec_id,baseline_path,llm_path,provider,model,strategy
Collections_ImplementComparable,nl2spec\datasets\baseline_ir\util\Collections_ImplementComparable.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\Collections_ImplementComparable.json,mock,mock-model,random
Collections_NewSetFromMap,nl2spec\datasets\baseline_ir\util\Collections_NewSetFromMap.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\Collections_NewSetFromMap.json,mock,mock-model,random
Collections_SortBeforeBinarySearch,nl2spec\datasets\baseline_ir\util\Collections_SortBeforeBinarySearch.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\fsm\Collections_SortBeforeBinarySearch.json,mock,mock-model,random
Collections_SynchronizedCollection,nl2spec\datasets\baseline_ir\util\Collections_SynchronizedCollection.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\Collections_SynchronizedCollection.json,mock,mock-model,random
Collections_SynchronizedMap,nl2spec\datasets\baseline_ir\util\Collections_SynchronizedMap.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\Collections_SynchronizedMap.json,mock,mock-model,random
Collections_UnnecessaryNewSetFromMap,nl2spec\datasets\baseline_ir\util\Collections_UnnecessaryNewSetFromMap.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\Collections_UnnecessaryNewSetFromMap.json,mock,mock-model,random
Collection_HashCode,nl2spec\datasets\baseline_ir\util\Collection_HashCode.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\Collection_HashCode.json,mock,mock-model,random
Collection_StandardConstructors,nl2spec\datasets\baseline_ir\util\Collection_StandardConstructors.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\Collection_StandardConstructors.json,mock,mock-model,random
Collection_UnsafeIterator,nl2spec\datasets\baseline_ir\util\Collection_UnsafeIterator.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\Collection_UnsafeIterator.json,mock,mock-model,random
Collection_UnsynchronizedAddAll,nl2spec\datasets\baseline_ir\util\Collection_UnsynchronizedAddAll.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ere\Collection_UnsynchronizedAddAll.json,mock,mock-model,random
Deque_OfferRatherThanAdd,nl2spec\datasets\baseline_ir\util\Deque_OfferRatherThanAdd.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\Deque_OfferRatherThanAdd.json,mock,mock-model,random
Dictionary_NullKeyOrValue,nl2spec\datasets\baseline_ir\util\Dictionary_NullKeyOrValue.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\Dictionary_NullKeyOrValue.json,mock,mock-model,random
Dictionary_Obsolete,nl2spec\datasets\baseline_ir\util\Dictionary_Obsolete.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ere\Dictionary_Obsolete.json,mock,mock-model,random
Enumeration_Obsolete,nl2spec\datasets\baseline_ir\util\Enumeration_Obsolete.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\Enumeration_Obsolete.json,mock,mock-model,random
EnumMap_NonNull,nl2spec\datasets\baseline_ir\util\EnumMap_NonNull.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\EnumMap_NonNull.json,mock,mock-model,random
EnumSet_NonNull,nl2spec\datasets\baseline_ir\util\EnumSet_NonNull.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\EnumSet_NonNull.json,mock,mock-model,random
InvalidPropertiesFormatException_NonSerializable,nl2spec\datasets\baseline_ir\util\InvalidPropertiesFormatException_NonSerializable.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\InvalidPropertiesFormatException_NonSerializable.json,mock,mock-model,random
Iterator_HasNext,nl2spec\datasets\baseline_ir\util\Iterator_HasNext.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ltl\Iterator_HasNext.json,mock,mock-model,random
Iterator_RemoveOnce,nl2spec\datasets\baseline_ir\util\Iterator_RemoveOnce.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\Iterator_RemoveOnce.json,mock,mock-model,random
ListIterator_hasNextPrevious,nl2spec\datasets\baseline_ir\util\ListIterator_hasNextPrevious.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\fsm\ListIterator_hasNextPrevious.json,mock,mock-model,random
ListIterator_RemoveOnce,nl2spec\datasets\baseline_ir\util\ListIterator_RemoveOnce.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\ListIterator_RemoveOnce.json,mock,mock-model,random
ListIterator_Set,nl2spec\datasets\baseline_ir\util\ListIterator_Set.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\ListIterator_Set.json,mock,mock-model,random
List_UnsafeListIterator,nl2spec\datasets\baseline_ir\util\List_UnsafeListIterator.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\List_UnsafeListIterator.json,mock,mock-model,random
List_UnsynchronizedSubList,nl2spec\datasets\baseline_ir\util\List_UnsynchronizedSubList.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\List_UnsynchronizedSubList.json,mock,mock-model,random
Map_CollectionViewAdd,nl2spec\datasets\baseline_ir\util\Map_CollectionViewAdd.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ere\Map_CollectionViewAdd.json,mock,mock-model,random
Map_ItselfAsKey,nl2spec\datasets\baseline_ir\util\Map_ItselfAsKey.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\Map_ItselfAsKey.json,mock,mock-model,random
Map_ItselfAsValue,nl2spec\datasets\baseline_ir\util\Map_ItselfAsValue.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\Map_ItselfAsValue.json,mock,mock-model,random
Map_StandardConstructors,nl2spec\datasets\baseline_ir\util\Map_StandardConstructors.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\Map_StandardConstructors.json,mock,mock-model,random
Map_UnsafeIterator,nl2spec\datasets\baseline_ir\util\Map_UnsafeIterator.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\Map_UnsafeIterator.json,mock,mock-model,random
Map_UnsynchronizedAddAll,nl2spec\datasets\baseline_ir\util\Map_UnsynchronizedAddAll.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\Map_UnsynchronizedAddAll.json,mock,mock-model,random
NavigableMap_Modification,nl2spec\datasets\baseline_ir\util\NavigableMap_Modification.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\NavigableMap_Modification.json,mock,mock-model,random
NavigableMap_UnsafeIterator,nl2spec\datasets\baseline_ir\util\NavigableMap_UnsafeIterator.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\NavigableMap_UnsafeIterator.json,mock,mock-model,random
NavigableSet_Modification,nl2spec\datasets\baseline_ir\util\NavigableSet_Modification.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\NavigableSet_Modification.json,mock,mock-model,random
PriorityQueue_NonComparable,nl2spec\datasets\baseline_ir\util\PriorityQueue_NonComparable.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\PriorityQueue_NonComparable.json,mock,mock-model,random
PriorityQueue_NonNull,nl2spec\datasets\baseline_ir\util\PriorityQueue_NonNull.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\PriorityQueue_NonNull.json,mock,mock-model,random
Properties_ManipulateAfterLoad,nl2spec\datasets\baseline_ir\util\Properties_ManipulateAfterLoad.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\Properties_ManipulateAfterLoad.json,mock,mock-model,random
Random_OverrideNext,nl2spec\datasets\baseline_ir\util\Random_OverrideNext.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\Random_OverrideNext.json,mock,mock-model,random
ResourceBundleControl_MutateFormatList,nl2spec\datasets\baseline_ir\util\ResourceBundleControl_MutateFormatList.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\ResourceBundleControl_MutateFormatList.json,mock,mock-model,random
Scanner_ManipulateAfterClose,nl2spec\datasets\baseline_ir\util\Scanner_ManipulateAfterClose.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\Scanner_ManipulateAfterClose.json,mock,mock-model,random
Scanner_SearchAfterClose,nl2spec\datasets\baseline_ir\util\Scanner_SearchAfterClose.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\Scanner_SearchAfterClose.json,mock,mock-model,random
ServiceLoaderIterator_Remove,nl2spec\datasets\baseline_ir\util\ServiceLoaderIterator_Remove.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\ServiceLoaderIterator_Remove.json,mock,mock-model,random
ServiceLoader_MultipleConcurrentThreads,nl2spec\datasets\baseline_ir\util\ServiceLoader_MultipleConcurrentThreads.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\ServiceLoader_MultipleConcurrentThreads.json,mock,mock-model,random
Set_ItselfAsElement,nl2spec\datasets\baseline_ir\util\Set_ItselfAsElement.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\Set_ItselfAsElement.json,mock,mock-model,random
SortedMap_StandardConstructors,nl2spec\datasets\baseline_ir\util\SortedMap_StandardConstructors.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\SortedMap_StandardConstructors.json,mock,mock-model,random
SortedSet_Comparable,nl2spec\datasets\baseline_ir\util\SortedSet_Comparable.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\SortedSet_Comparable.json,mock,mock-model,random
SortedSet_StandardConstructors,nl2spec\datasets\baseline_ir\util\SortedSet_StandardConstructors.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\SortedSet_StandardConstructors.json,mock,mock-model,random
StringTokenizer_HasMoreElements,nl2spec\datasets\baseline_ir\util\StringTokenizer_HasMoreElements.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ltl\StringTokenizer_HasMoreElements.json,mock,mock-model,random
TreeMap_Comparable,nl2spec\datasets\baseline_ir\util\TreeMap_Comparable.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\TreeMap_Comparable.json,mock,mock-model,random
TreeSet_Comparable,nl2spec\datasets\baseline_ir\util\TreeSet_Comparable.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\TreeSet_Comparable.json,mock,mock-model,random
Vector_InsertIndex,nl2spec\datasets\baseline_ir\util\Vector_InsertIndex.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\Vector_InsertIndex.json,mock,mock-model,random
